means CONSTANT MEANS SIGMA MEANS_error
2186.69 1.15301 1996.72 1733.78 284.641
2159.87 1.1495 2024.63 1758.19 265.466
2053.9 1.17673 1976.14 1609.96 220.613
1919.49 1.17286 1695.43 1839.35 372.069
1984.14 1.24466 1846.42 1467.83 189.767
2089.16 1.17973 2003.7 1719.76 241.673
2007.16 1.20988 1751.35 1752.2 297.443
1941.72 1.19742 1749.73 1653.54 267.827
1923.48 1.19929 1697.14 1961.54 413.185
1957.53 1.22912 1868.87 1463.24 177.269
1888.37 1.23703 1737.38 1571.94 251.042
1947.92 1.19716 1605.84 2160.86 592.188
2030.37 1.19498 1857.67 1559.58 230.326
2038.92 1.14598 1854.21 1938.41 370.033
2028.9 1.18324 1866.47 1675.93 293.074
2117.64 1.14593 1932.86 1931.41 374.227
2132.77 1.12188 1940.82 2147.76 463.699
2135.64 1.17226 1998.45 1761.7 265.374
2252.78 1.14852 2037.92 2668.95 608.169
1862.92 1.19188 1634.62 1965.92 495.266
1792.11 1.22969 1563.62 1820.09 429.164
2044.2 1.21887 1851.24 1555.44 216.2
1979.88 1.24346 1862.16 1473.74 184.389
1879.77 1.24707 1716.4 1523.67 243.777
1727.47 1.25202 1577.04 1531.91 257.139
1923.17 1.23512 1859.99 1498.03 189.208
1893.28 1.23987 1669.74 1570.14 290.67
1956.27 1.25152 1872.54 1286.47 151.536
2060.08 1.17159 1849.62 1839.91 334.952
2065.25 1.18651 2009.88 1487.05 187.165
1914.21 1.17243 1796.23 1756.25 311.989
2032.23 1.137 1819.71 2029.63 453.23
2308.82 1.14833 2187.72 1945.95 334.591
2278.77 1.14898 2159.44 1769.92 278.879
2096.96 1.15234 2017.65 1837.26 266.586
2350.95 1.14605 2195.35 2017.42 326.24
2237.75 1.16691 2087.83 1857.23 254.173
2262.53 1.13672 2115.31 2234.29 372.931
2319.91 1.15871 2138.02 2016.02 297.707
1960.36 1.19171 1852.95 1582.25 204.75
2083.57 1.1735 1917.13 1908.13 285.402
2065.24 1.19385 1985.81 1588.24 205.717
1968.45 1.1938 1859.52 1674.41 228.17
1874.91 1.19574 1696.96 1791.33 343.366
2001.59 1.16883 1864.81 1741.58 263.378
2124.75 1.14835 2052.59 1993.89 326.7
2100.18 1.16571 1948.69 1863.14 319.673
2056.95 1.12434 1980.19 1888.33 324.523
2252.58 1.11541 2173.11 2280.09 462.845
1965.19 1.164 1848.72 1712.85 281.195
2190.93 1.15248 2087.68 2006.79 343.667
2063.61 1.17225 1962.5 1828.76 270.474
2116.84 1.2049 1993.81 1565.44 196.044
2089.65 1.20941 2047.32 1398.11 160.763
2136.06 1.1715 1871.53 1960.83 355.004
2060.61 1.19726 1996.63 1585.93 194.081
2019.37 1.19208 1812.88 1587.67 227.642
2103.85 1.1874 2001.88 1798.67 247.562
2063.31 1.20045 1939.95 1595.58 204.112
2010.84 1.19732 1912.77 1540.35 185.233
2076.04 1.20349 1954.75 1512.55 194.075
2342.44 1.14127 2330.44 2389.25 561.104
2146.21 1.14334 1814.05 1900.5 463.464
2040.19 1.12615 2045.07 1936.29 356.38
